lat;lng;STREET TYPOLOGY;;
51.512448;-0.112017;pedestrian;;
51.512538;-0.111614;pedestrian;;
51.51262;-0.111207;pedestrian;;
51.515102;-0.10771;pedestrian;;
51.505819;-0.137136;pedestrian;;
51.506044;-0.137328;pedestrian;;
51.50627;-0.137521;pedestrian;;
51.516667;-0.137807;pedestrian;;
51.516319;-0.137593;pedestrian;;
51.515972;-0.137379;pedestrian;;
51.504082;-0.048207;pedestrian;;
51.503773;-0.047927;pedestrian;;
51.503465;-0.047647;pedestrian;;
51.504268;-0.047655;pedestrian;;
51.503945;-0.047466;pedestrian;;
51.503621;-0.047277;pedestrian;;
51.540411;-0.117502;pedestrian;;
51.540434;-0.117083;pedestrian;;
51.512253;-0.118184;pedestrian;;
51.512123;-0.117874;pedestrian;;
51.511915;-0.117698;pedestrian;;
51.511876;-0.117715;pedestrian;;
51.511721;-0.118158;pedestrian;;
51.511565;-0.118601;pedestrian;;
51.475822;-0.058863;pedestrian;;
51.476119;-0.058843;pedestrian;;
51.476416;-0.058823;pedestrian;;
51.478032;-0.055562;pedestrian;;
51.478319;-0.055373;pedestrian;;
51.478582;-0.055158;pedestrian;;
51.494068;-0.105266;pedestrian;;
51.49405;-0.105168;pedestrian;;
51.507954;-0.101634;pedestrian;;
51.507989;-0.100921;pedestrian;;
51.507793;-0.100532;pedestrian;;
51.507628;-0.100981;pedestrian;;
51.507596;-0.101411;pedestrian;;
51.507452;-0.115495;pedestrian;;
51.507137;-0.115203;pedestrian;;
51.50682;-0.114916;pedestrian;;
51.506503;-0.114629;pedestrian;;
51.506186;-0.114341;pedestrian;;
51.479347;-0.157982;pedestrian;;
51.479467;-0.157365;pedestrian;;
51.479598;-0.156754;pedestrian;;
51.479722;-0.156139;pedestrian;;
51.479845;-0.155524;pedestrian;;
51.479969;-0.154909;pedestrian;;
51.480091;-0.154293;pedestrian;;
51.480211;-0.153676;pedestrian;;
51.480331;-0.153059;pedestrian;;
51.512253;-0.118184;pedestrian;;
51.512347;-0.11845;pedestrian;;
51.492288;-0.076565;pedestrian;;
51.492551;-0.076167;pedestrian;;
51.492827;-0.07578;pedestrian;;
51.493112;-0.075411;pedestrian;;
51.492239;-0.0639;pedestrian;;
51.492607;-0.063904;pedestrian;;
51.492933;-0.063956;pedestrian;;
51.492639;-0.063568;pedestrian;;
51.492318;-0.063299;pedestrian;;
51.503541;-0.072799;pedestrian;;
51.503255;-0.07309;pedestrian;;
51.490924;-0.152872;pedestrian;;
51.49076;-0.152387;pedestrian;;
51.532682;-0.11061;pedestrian;;
51.533027;-0.110626;pedestrian;;
51.533372;-0.110643;pedestrian;;
51.504627;-0.086899;pedestrian;;
51.504296;-0.087128;pedestrian;;
51.529732;-0.132612;pedestrian;;
51.529368;-0.13222;pedestrian;;
51.52901;-0.131806;pedestrian;;
51.539263;-0.144637;pedestrian;;
51.539425;-0.144193;pedestrian;;
51.539588;-0.14375;pedestrian;;
51.53975;-0.143306;pedestrian;;
51.528127;-0.139438;pedestrian;;
51.528138;-0.139037;pedestrian;;
51.528138;-0.138633;pedestrian;;
51.528113;-0.140813;pedestrian;;
51.528109;-0.140124;pedestrian;;
51.528127;-0.139438;pedestrian;;
51.52766;-0.14218;pedestrian;;
51.527913;-0.142444;pedestrian;;
51.528195;-0.142567;pedestrian;;
51.528499;-0.142561;pedestrian;;
51.528498;-0.143259;pedestrian;;
51.528226;-0.143259;pedestrian;;
51.528197;-0.142874;pedestrian;;
51.524183;-0.149292;pedestrian;;
51.524221;-0.149355;pedestrian;;
51.505851;-0.082818;pedestrian;;
51.506117;-0.082531;pedestrian;;
51.544434;-0.112766;pedestrian;;
51.544618;-0.112906;pedestrian;;
51.505602;-0.099513;pedestrian;;
