lat;lng;STREET TYPOLOGY;NUMBER OF AMENITIES;MAIN CATEGORY
48.898481;2.27434;pedestrian;0;NEED
48.898673;2.274856;pedestrian;0;NEED
48.856452;2.296882;pedestrian;0;NEED
48.856163;2.296662;pedestrian;0;NEED
48.85584;2.296661;pedestrian;0;NEED
48.85557;2.296911;pedestrian;0;NEED
48.858107;2.292359;pedestrian;0;NEED
48.857802;2.292749;pedestrian;0;NEED
48.857447;2.293032;pedestrian;0;NEED
48.857228;2.293536;pedestrian;0;NEED
48.857028;2.294054;pedestrian;0;NEED
48.855468;2.301438;pedestrian;0;NEED
48.855237;2.300997;pedestrian;0;NEED
48.854946;2.300667;pedestrian;0;NEED
48.854651;2.300232;pedestrian;0;NEED
48.854351;2.299803;pedestrian;0;NEED
48.854055;2.299368;pedestrian;0;NEED
48.853757;2.298936;pedestrian;0;NEED
48.855366;2.299446;pedestrian;0;NEED
48.855706;2.299676;pedestrian;0;NEED
48.85608;2.299792;pedestrian;0;NEED
48.856454;2.29991;pedestrian;0;NEED
48.854776;2.297561;pedestrian;0;NEED
48.854853;2.298071;pedestrian;0;NEED
48.854931;2.298581;pedestrian;0;NEED
48.855068;2.299051;pedestrian;0;NEED
48.855402;2.297148;pedestrian;0;NEED
48.855244;2.297577;pedestrian;0;NEED
48.855261;2.298072;pedestrian;0;NEED
48.855412;2.298512;pedestrian;0;NEED
48.859698;2.294681;pedestrian;0;NEED
48.859475;2.295173;pedestrian;0;NEED
48.859278;2.295714;pedestrian;0;NEED
48.858945;2.296069;pedestrian;0;NEED
48.858589;2.296345;pedestrian;0;NEED
48.857413;2.298439;pedestrian;0;NEED
48.857325;2.297852;pedestrian;0;NEED
48.857237;2.297265;pedestrian;0;NEED
48.857148;2.296678;pedestrian;0;NEED
48.855826;2.295941;pedestrian;0;NEED
48.856159;2.296049;pedestrian;0;NEED
48.856492;2.296157;pedestrian;0;NEED
48.856801;2.296336;pedestrian;0;NEED
48.858509;2.267544;pedestrian;0;NEED
48.858481;2.268104;pedestrian;0;NEED
48.858452;2.268665;pedestrian;0;NEED
48.858424;2.269225;pedestrian;0;NEED
48.858396;2.269786;pedestrian;0;NEED
48.858353;2.270343;pedestrian;0;NEED
48.84151;2.298862;pedestrian;0;NEED
48.841742;2.298623;pedestrian;0;NEED
48.841883;2.298225;pedestrian;0;NEED
48.837871;2.302561;pedestrian;0;NEED
48.837709;2.302274;pedestrian;0;NEED
48.837548;2.301986;pedestrian;0;NEED
48.837651;2.302792;pedestrian;0;NEED
48.837491;2.302519;pedestrian;0;NEED
48.83733;2.302247;pedestrian;0;NEED
48.837721;2.312375;pedestrian;0;NEED
